taste,n,mean,sd,min,max,distinct_levels,modal_value,modal_share,frac_le_3,sd_as_pct_of_scale,shannon_entropy_bits,IQR
sweet,70,17.742857142857144,17.70096674203091,3.0,66.0,29,7.0,0.11428571428571428,0.02857142857142857,0.1770096674203091,4.493518824601854,11.75
sour,70,11.4,13.021053186549718,1.0,56.0,26,2.0,0.18571428571428572,0.3142857142857143,0.1302105318654972,4.1284121124587445,9.0
bitter,70,1.5714285714285714,1.3891028130627334,0.0,8.0,6,1.0,0.6,0.9571428571428572,0.013891028130627335,1.7420469849478435,1.0
umami,70,15.028571428571428,10.942499818479902,0.0,41.0,30,1.0,0.07142857142857142,0.2,0.10942499818479902,4.686884632505994,17.75
salty,70,29.814285714285713,14.689336423231154,2.0,57.0,32,41.0,0.08571428571428572,0.04285714285714286,0.14689336423231153,4.7806597598891365,27.25
