model,R2_full,R2_no_outliers,MAE_full,MAE_no_outliers,Skill_MSE_full,Skill_MSE_no_outliers
Lasso 5D,0.16331027158852107,0.046643601546975666,0.8608983940888794,0.6381706556893605,0.18704493939447908,0.07447731992741657
Ridge,0.19504906522306453,0.06167905430571308,0.832569375724423,0.6284763180994843,0.2178833876585734,0.08907380509912344
Ordinal (prop. odds),0.21561721004842382,0.09639070290593266,0.8021845102488578,0.6034021410170527,0.23786806878378464,0.1227720297025805
log1p-transform Ridge,0.19039555629306448,0.036515284120796854,0.7612425510330412,0.5993657889309298,0.21336188643087317,0.06464470381017684
