dMAE,ci_lo,ci_hi,p_boot,model,baseline
-0.062497051045696105,-0.16412268731639668,0.03928245637340124,0.2398,Lasso 5D,constant mean
0.14661267980316514,-0.010683148276820877,0.29043421087937377,0.064,Lasso 5D,constant median
-0.09082606941015249,-0.17857429797649668,-0.008003040602087627,0.0274,Ridge,constant mean
0.11828366143870875,-0.026039928419695664,0.25155388664782863,0.1082,Ridge,constant median
-0.1212109348857177,-0.22038911534466726,-0.02832114440821516,0.009,Ordinal (prop. odds),constant mean
0.08789879596314354,-0.059717004599235554,0.2219237121480389,0.2328,Ordinal (prop. odds),constant median
-0.16215289410153416,-0.24904740900610742,-0.07579713772433536,0.0002,log1p-transform Ridge,constant mean
0.046956836747327084,-0.07203974670447352,0.15462206445710774,0.402,log1p-transform Ridge,constant median
