model,exact_hit_rate,within_1_unit,distinct_rounded_predictions
Lasso 5D,0.42857142857142855,0.8857142857142857,6
Ordinal (prop. odds),0.4714285714285714,0.9142857142857143,5
log1p-transform Ridge,0.5,0.8571428571428571,5
Constant (mean),0.17142857142857143,0.8857142857142857,2
