threshold,n_positive,n_negative,prevalence,LOO_ROC_AUC,LOO_balanced_accuracy,majority_class_accuracy
bitter >= 2,23,47,0.32857142857142857,0.7641073080481036,0.7206290471785384,0.6714285714285715
bitter >= 3,11,59,0.15714285714285714,0.6964560862865947,0.6456086286594761,0.8428571428571429
