model,R2_observed,R2_null_mean,R2_null_p95,p_perm_R2,MAE_observed,MAE_null_mean,MAE_null_p05,p_perm_MAE,n_perm
Lasso 5D,0.16331027158852107,-0.042930038232833846,-0.01638790187381441,0.000999000999000999,0.8608983940888794,0.9275564367799889,0.9015596493227745,0.008991008991008992,1000
Ridge,0.19504906522306453,-0.038693555959782,-0.009516855106058274,0.000999000999000999,0.832569375724423,0.9253009105566775,0.8938206040489037,0.002997002997002997,1000
Ordinal (prop. odds),0.21561721004842382,-0.0767197660677233,0.000541792197651261,0.001998001998001998,0.8021845102488578,0.9354378222332539,0.8721092302730483,0.001998001998001998,1000
log1p-transform Ridge,0.19039555629306448,-0.053255697633364664,-0.02577656430703494,0.001998001998001998,0.7612425510330412,0.8425627847449688,0.8175284618643733,0.001998001998001998,1000
