model,R2,R2_lo,R2_hi,MAE,MAE_lo,MAE_hi
Lasso 5D,0.16331027158852107,-0.409566817709219,0.32185318225536186,0.8608983940888794,0.6598562096093695,1.0948258676997964
Ridge,0.19504906522306453,-0.21210100356264258,0.3206376590512799,0.832569375724423,0.6366303511019477,1.067846219618041
Ordinal (prop. odds),0.21561721004842382,-0.20344166242589623,0.39074206388429655,0.8021845102488578,0.6057063860418858,1.0359628352350343
log1p-transform Ridge,0.19039555629306448,-0.08867352961875972,0.331651087366965,0.7612425510330412,0.5545604104132216,1.0159201960331818
