Taste,GT Mean,GT SD,Below,Within,Above,HS MAE,HS PCC,HS Bias,Hyb MAE,Hyb PCC,Hyb Bias
Sweet,17.742857142857144,17.574076455544002,1%,6%,93%,12.990313547708809,0.8330709647141025,-12.97031354770881,7.629037057191675,0.6845305200001589,-0.5560105837023285
Sour,11.4,12.927711100025183,0%,20%,80%,8.610211429269986,0.6328758373046983,-8.5963543553922,6.296014944340312,0.7411084231099531,0.32561405306444763
Bitter,1.5714285714285714,1.3791449584168196,13%,61%,26%,0.9198181992839314,0.30752220669982194,-0.04259860091540526,0.955596470327844,-0.0980771263115569,-0.11343798892786305
Umami,15.028571428571428,10.864057948208892,3%,7%,90%,12.770792532229503,0.5497666832881237,-12.718486093760008,5.7462470816882,0.7245275146911455,0.21015996184209906
Salt,29.814285714285713,14.584035162898267,0%,3%,97%,24.242000587693937,0.37826688091206717,-24.242000587693937,9.158487334295017,0.6376104590656045,0.3004092310488448
