method,target,MAE,Median_AE,MSE,RMSE,R2,ExplainedVar,Pearson_r,Spearman_rho,Bias,Std_Error,MAPE_%,sMAPE_%
RV,sweet,8.757142857142858,5.0,188.84285714285716,13.742010665941763,0.38855761631764096,0.6256472370017365,0.8234514681494634,0.7341326624055622,-8.557142857142857,10.830225704936892,45.9220831697553,64.24344375964816
RV,bitter,0.8857142857142857,1.0,2.085714285714286,1.4442002235542986,-0.09656652360515006,-0.05364806866952754,0.3263636383958983,0.16284908167351955,-0.2857142857142857,1.4258773769142488,857142899.0476189,61.57142857142859
RV,salty,21.442857142857143,22.0,629.5571428571428,25.0909773196889,-1.959918480216388,0.1788714461030071,0.4266845171289206,0.5065678325382802,-21.32857142857143,13.310910234200364,67.86667873866278,109.71905510446476
RV,umami,10.857142857142858,9.0,202.4857142857143,14.229747513069734,-0.715577103967244,0.25186051015326727,0.5519348533182704,0.6201391218622342,-10.685714285714285,9.464721463463803,285714354.21440595,115.15575560888665
RV,sour,6.714285714285714,3.5,121.14285714285714,11.006491591004698,0.27513933052962714,0.4589725930376256,0.7045365466126948,0.7074193801269253,-5.542857142857143,9.577579062786887,53.51392540961357,71.00819247581241
RV,overall,9.731428571428571,4.5,228.82285714285715,15.126891853347043,0.0689244929943632,0.4193384942165186,0.6871760268516564,0.7772819756553212,-9.28,11.962999307679077,228571484.11294246,84.3395751040481
