method,target,MAE,Median_AE,MSE,RMSE,R2,ExplainedVar,Pearson_r,Spearman_rho,Bias,Std_Error,MAPE_%,sMAPE_%
HS,sweet,9.942857142857143,6.0,234.97142857142856,15.328777791181805,0.239200822542746,0.5537996347191275,0.8097242098249726,0.686619780018333,-9.857142857142858,11.823932637780645,50.21637944567111,73.1571361110612
HS,bitter,0.9,1.0,2.2142857142857144,1.4880476182856899,-0.16416309012875518,-0.1168454935622314,0.26853528398750226,0.16035746434925133,-0.3,1.4680165066402064,857142899.2261903,61.91774891774892
HS,salty,22.057142857142857,22.5,661.3428571428572,25.716587198593384,-2.1093618217599097,0.16030017242355377,0.4050917666011003,0.48345731998172936,-21.97142857142857,13.460593509936757,70.06405903455722,115.1282336970942
HS,umami,11.128571428571428,10.0,211.35714285714286,14.53812721285458,-0.7907410225197811,0.23178048746749313,0.5357794724747581,0.6010107557837051,-10.985714285714286,9.590896736334894,285714354.26348305,117.30814116229192
HS,sour,7.1571428571428575,3.5,144.92857142857142,12.038628303447673,0.13281704106404102,0.37899735748233054,0.6513304693538684,0.7015545332020371,-6.414285714285715,10.26107440929683,52.54433261619672,74.31680203648953
HS,overall,10.237142857142857,5.0,250.96285714285713,15.841807256208401,-0.021162712377061688,0.37809847388690077,0.6734354315881571,0.7618544797297944,-9.905714285714286,12.380533820606301,228571485.2628889,88.36561238493717
