method,target,MAE,Median_AE,MSE,RMSE,R2,ExplainedVar,Pearson_r,Spearman_rho,Bias,Std_Error,MAPE_%,sMAPE_%
HS,sweet,9.9,6.0,233.47142857142856,15.279771875634419,0.24405757799222383,0.5559266953710825,0.805256550629095,0.6865606823217595,-9.814285714285715,11.795716315486954,50.14835223478676,73.06537740248005
HS,bitter,0.8428571428571429,0.0,2.157142857142857,1.468721504282843,-0.13412017167381962,-0.10311158798283238,0.26376902480771014,0.17697315820262238,-0.24285714285714285,1.4589624493356326,857142895.1785713,51.727272727272734
HS,salty,22.057142857142857,22.5,661.0,25.709920264364882,-2.107749848637643,0.161912145545821,0.40681864944603036,0.484617744141412,-21.97142857142857,13.447667141656764,70.07074240966165,115.1432399172891
HS,umami,11.142857142857142,10.0,211.65714285714284,14.548441251802299,-0.7932827975432968,0.23189979527471904,0.5367598028642041,0.6014698593827935,-11.0,9.590151953579966,285714354.34751666,117.48412459914492
HS,sour,7.1571428571428575,3.5,144.92857142857142,12.038628303447673,0.13281704106404102,0.37899735748233054,0.6513304693538684,0.7015545332020371,-6.414285714285715,10.26107440929683,52.54433261619672,74.31680203648953
HS,overall,10.22,5.0,250.64285714285714,15.831704176836338,-0.01986063894802581,0.3780198180226161,0.6713291938922138,0.7606259699084469,-9.888571428571428,12.381316718507572,228571484.45790303,86.34736333653528
RV,sweet,8.714285714285714,5.0,188.11428571428573,13.715476138810702,0.39091661182167314,0.6256373252559211,0.8195676752507802,0.7340733050730944,-8.514285714285714,10.830369080042376,45.85405595887095,64.16520556781971
RV,bitter,0.8857142857142857,1.0,2.085714285714286,1.4442002235542986,-0.09656652360515006,-0.05364806866952754,0.3263636383958984,0.16284908167351955,-0.2857142857142857,1.4258773769142488,857142899.0476189,61.57142857142859
RV,salty,21.442857142857143,22.0,629.2142857142857,25.084144109661896,-1.9583065070941208,0.18048341922527422,0.42835271195321034,0.5071479525574975,-21.32857142857143,13.29783836478634,67.8733621137672,109.73297828819926
RV,umami,10.857142857142858,9.5,202.22857142857143,14.220709244920643,-0.7133984396613735,0.2540391744591378,0.5561371670047172,0.6234546622870006,-10.685714285714285,9.450930261923162,285714354.2363278,115.14381305408692
RV,sour,6.714285714285714,3.5,121.14285714285714,11.006491591004698,0.27513933052962714,0.4589725930376256,0.7045365466126948,0.7074193801269253,-5.542857142857143,9.577579062786887,53.51392540961357,71.00819247581241
RV,overall,9.722857142857142,4.5,228.55714285714285,15.118106457395479,0.07000567896668775,0.4197726626295525,0.6858544463836336,0.7778578256629446,-9.271428571428572,11.95852602364552,228571484.10505807,84.32432359146937
Lasso,sweet,6.252192082130457,4.314584404691834,84.29015189356265,9.180966827821711,0.7270822303024159,0.7270822322021433,0.8538640080436906,0.7350872041729491,-0.0007659812754882113,9.247256225637233,50.46319271839407,39.78335856384572
Lasso,bitter,0.7669181708686973,0.5672245139919927,1.203731781640872,1.0971471103005612,0.3671367242446061,0.3671367266642902,0.6059226592494896,0.4867625681001723,-6.78405316456703e-05,1.1050688508466595,806834025.8952181,52.88525178044205
Lasso,salty,5.733000778228899,4.292005063550715,71.31749191842486,8.444968437976833,0.5732703837752813,0.5732703852245725,0.7572679591923334,0.7313470589280912,-0.0004921522204839641,8.505943716725273,91.19188091477344,57.172695836313835
Lasso,umami,5.989196010735379,4.1266109630630545,62.349395171216486,7.896163319689917,0.4717395487416297,0.47173955230811493,0.6872433252041439,0.720211295074063,-0.0006488021753742602,7.953176042748133,1645835753.4138014,55.19877559770633
Lasso,sour,8.70299744675674,6.496135690839653,125.27664597404156,11.19270503381741,0.411000790372679,0.4110007981616952,0.6440301309910548,0.6568126608631478,-0.0012871199049264196,11.273519763507547,80.70821325475906,36.620119949408334
Lasso,overall,5.4888608977440345,3.574129433835651,68.88748334777729,8.299848393059797,0.7196982448115705,0.7196982465433227,0.8486358703519618,0.8823756855023108,-0.0006523792215837838,8.311730762005261,490534000.3344612,48.33204034554326
