label,actual,predicted
sweet,8.0,14.057026183494054
sweet,54.0,24.127525900775378
sweet,65.0,26.038547185216643
sweet,54.0,26.275386157640778
sweet,21.0,16.446353079459747
sweet,7.0,13.938963645533324
sweet,13.0,12.42316269351981
sweet,7.0,9.058389581084574
sweet,14.0,11.926124009845115
sweet,10.0,14.936249109544974
sweet,6.0,10.31073169152408
sweet,7.0,13.73561364138666
sweet,6.0,10.53458581319817
sweet,7.0,15.103698154659494
sweet,7.0,9.506556668978396
sweet,6.0,17.329728692782346
sweet,19.0,14.832260168170372
sweet,4.0,6.758135329926665
sweet,7.0,11.97943342821386
sweet,9.0,8.44026446811495
sweet,3.0,9.960398169969931
sweet,12.0,10.266530437747942
sweet,8.0,12.30356846010363
sweet,6.0,10.057523017476084
sweet,6.0,17.252915926130186
sweet,12.0,12.364211966880617
sweet,5.0,10.0769630507666
sweet,13.0,27.437691117669303
sweet,24.0,20.47466903129329
sweet,9.0,13.29833077415205
sweet,11.0,13.088348134658748
sweet,8.0,8.288928307239999
sweet,10.0,10.015748608291492
sweet,11.0,14.687886306683062
sweet,54.0,34.85591392084969
sweet,10.0,14.444022436489405
sweet,15.0,20.32818362683196
sweet,32.0,18.477725430437044
sweet,3.0,9.796074279460925
sweet,15.0,18.770193226978066
sweet,9.0,7.521088443605427
sweet,4.0,9.756900275970413
sweet,5.0,6.586194770902372
sweet,8.0,10.053866656534492
sweet,15.0,25.841267941588942
sweet,12.0,13.70444684357874
sweet,62.0,36.87739604875572
sweet,16.0,11.892270241586738
sweet,9.0,9.448064937941767
sweet,18.0,11.57898566955828
sweet,7.0,9.444652377323672
sweet,12.0,16.19724376224413
sweet,9.0,11.424029376594266
sweet,18.0,16.28593220046041
sweet,63.0,80.65608760244366
sweet,66.0,76.47341789499468
sweet,8.0,11.423884826084752
sweet,19.0,16.2986061196874
sweet,6.0,6.434983256889426
sweet,4.0,12.565056870648238
sweet,20.0,8.474949188166521
sweet,10.0,9.528583361927545
sweet,46.0,35.71370173579301
sweet,10.0,16.57152285082256
sweet,31.0,38.1540423704993
sweet,7.0,12.399075806194361
sweet,48.0,33.273767504412525
sweet,28.0,36.47682915652083
sweet,65.0,60.158301662032315
sweet,9.0,-5.882621376073871
bitter,1.0,1.6098866956349516
bitter,3.0,1.7058349579704832
bitter,1.0,2.0835418992229284
bitter,1.0,1.8997781291801372
bitter,2.0,1.5723369408586516
bitter,2.0,1.5430775496541984
bitter,3.0,1.411791739443286
bitter,4.0,1.5884540851236824
bitter,2.0,1.4219680015193472
bitter,1.0,1.8022484268496644
bitter,3.0,1.5381159867474543
bitter,1.0,1.1671905465579075
bitter,3.0,1.7179166124729688
bitter,2.0,1.6277687234659264
bitter,1.0,1.726701397586711
bitter,1.0,1.6641099689196508
bitter,1.0,1.3651171309512768
bitter,1.0,1.48654047133251
bitter,1.0,1.7768115199068757
bitter,1.0,1.39300260389935
bitter,2.0,1.5567787015659815
bitter,1.0,1.6363010716053825
bitter,0.0,1.1084048168560565
bitter,1.0,0.9177712176883199
bitter,1.0,2.2183175002974584
bitter,1.0,1.2061081225001518
bitter,1.0,0.09852676677170735
bitter,1.0,1.7664272419878977
bitter,2.0,1.4173377423949316
bitter,0.0,1.3345836440177807
bitter,2.0,1.4847670862324511
bitter,0.0,0.9496025062151772
bitter,1.0,0.3123573302941316
bitter,1.0,2.2528732610055404
bitter,1.0,1.5893508004071424
bitter,1.0,1.3793562655588187
bitter,1.0,1.6104403941187866
bitter,2.0,1.307388932928692
bitter,1.0,1.6273385079866356
bitter,1.0,0.9143790409037894
bitter,1.0,0.8323775753561351
bitter,2.0,1.5730865075900404
bitter,2.0,2.7885167658055625
bitter,1.0,1.3756126687104755
bitter,2.0,1.6898831234235459
bitter,1.0,1.3501422523443536
bitter,1.0,1.887459454730765
bitter,1.0,1.233043619163459
bitter,1.0,1.3919066005744223
bitter,0.0,1.592543645779922
bitter,1.0,0.7829070947663583
bitter,1.0,1.4100878212547627
bitter,1.0,0.8584834840533317
bitter,1.0,1.2845120859070782
bitter,3.0,5.2254062117138735
bitter,8.0,3.6995489589646793
bitter,1.0,1.7542122353361682
bitter,1.0,1.1382178531947653
bitter,1.0,0.7163394544449875
bitter,3.0,0.4367927353658996
bitter,1.0,1.2879171395406361
bitter,3.0,1.6717724275491168
bitter,0.0,1.430747508454284
bitter,2.0,1.4332995082421027
bitter,1.0,0.9597652079718373
bitter,1.0,0.7360271385726531
bitter,8.0,2.4499838652085026
bitter,1.0,0.8460280477391955
bitter,3.0,5.526221508775683
bitter,1.0,1.436015807563546
salty,18.0,25.031267636742154
salty,13.0,20.903606410338043
salty,10.0,19.820079119373418
salty,11.0,19.51447577507863
